KONNEXION COMERCIO INTERNACIONAL EIRELI		
RUA GAL HUMBERTO DE ALENCAR CASTELO BRANCO, 518			
SAO CAETANO DO SUL - BAIRRO SANTA MARIA 			
CEP 09560-380 - SAO PAULO - BRAZIL			
WWW.KONNEXION.BIZ			
Fone SAC: 11 4220.6098
Celular VIVO: 011 95779.4253 (WhatsApp)
E.mail:konnexion@terra.com.br
		
skype: konnexionintl			
			
			
IMPORTADOR E DISTRIBUIDOR DE DISCOS DE FRICÇÃO PARA TRANSMISSÃO ZF, DANA, CLARK HURTH, ALLISON, FUNK, TWIN DISC. 
DISCOS DE FREIOS PARA EIXOS ZF, DANA, KALMAR, MERITOR, AXLETECH, GRAZIANO, OMCI, KESSLER, CARRARO. 
DISCOS PARA REDUTORES DE VELOCIDADE REGIANNA RIDUTTORI. DISCOS PARA GUINDASTERS LIEBHERR, ORMIG, TEREX, XCMG.
DISCOS PARA COLHEITADEIRAS, TRATORES AGRÍCOLAS, RETROESCAVADEIRAS, PÁS CARREGADEIRAS, CAMINHÕES FORA DE ESTRADA, EMPILHADEIRAS.
DISCOS E PLACAS SEPARADORAS PARA VÁRIOS TIPO DE APLICAÇÃO: BOBCAT, CASE, CASE IH, CATERPILLAR, DOOSAN, DYNAPAC,  FIATALLIS, GENIE, HAULOTTE, 
HYNDAI, JCB 426ZX, JOHN DEERE, LIEBHERR, LIUGONG, LU NENG, LONKING, MANITOU,  MICHIGAN 75A, 125A, NEW HOLLAND, TORO, TAMROCK, VOLVO, WIRTGEN. 
DISCOS PARA EMPILHADEIRAS BAOLI, CLARK, DAEWOO, FELLER, FANTUZZI, GOOD SENSE, HANGCHA, HALLA, HELI, HYSTER, HYUNDAI,  JLG SKY JACK MANLIFT, KALMAR,
MAXIMAL,  MITSUI, MITSUBISHI,  NISSAN, TEREX REACH STACKER, TCM, TEREX REACH STACKER, TOYOTA, YALE.

OS DISCOS QUE DISTRIBUIMOS SÃO FABRICADOS PELA MESMA EMPRESA QUE FORNECE SEUS PRODUTOS PARA ALGUMAS MONTADORAS. 
SEUS PRODUTOS SÃO FABRICADOS BASEADOS EM ESPECIFICAÇÕES TECNICAS DE PEÇA ORIGINAL. 
DISCOS DE PAPER, DISCOS DE AÇO, DISCOS DE FREIO, DISCOS DE FRICÇÃO, DISCOS SINTERIZADOS, DISCOS DE ELASTOMEROS, DISCOS DE CORTIÇA, PLACAS SEPARADORAS
MOTORES DE GIRO,  MOTOR DE TRAÇÃO, CONVERSOR DE TORQUE, TRANSMISSÃO AUTOMATICA TE-13, TE-17, TE-27, TE-32			


PART No.			APLICACAO					MATERIAL	
==================		==========================			=========================
410 653 7A			AHLMANN						STEEL
410 653 9A			AHLMANN						STEEL
410 662 0A			AHLMANN						STEEL
410 662 0A			AHLMANN						STEEL
410 662 1A			AHLMANN						STEEL
410 662 2A			AHLMANN						STEEL
410 662 3A			AHLMANN						MOLYBDENUM
410 695 7A			AHLMANN						STEEL
410 695 8A			AHLMANN						BRONZE
410 696 2A			AHLMANN						BRONZE
411 028 8A			AHLMANN						PAPER
411 040 0A			AHLMANN						STEEL
411 040 2A			AHLMANN						STEEL
419 974 2A			AHLMANN						MOLYBDENUM
35634-3400A			AISIN						PAPER
35634-3700			AISIN						PAPER
1004870				ALLISCHALMERS (FIATALLIS)			STEEL
1004876				ALLISCHALMERS (FIATALLIS)			BRONZE
1005843				ALLISCHALMERS (FIATALLIS)			BRONZE
1018222				ALLISCHALMERS (FIATALLIS)			STEEL
1018224				ALLISCHALMERS (FIATALLIS)			BRONZE
1018238				ALLISCHALMERS (FIATALLIS)			BRONZE
1018239				ALLISCHALMERS (FIATALLIS)			STEEL
5196303				ALLISON						STEEL
5197160				ALLISON						PAPER
6830221				ALLISON - L33970				GRAPHITE
6771491				ALLISON						BRONZE
6777592				ALLISON - L31090				BRONZE
6834679				ALLISON						STEEL
6835687				ALLISON - Serie MT643				PAPER
6835976				ALLISON - Serie MT643				PAPER
6837422				ALLISON						STEEL
6837690				ALLISON						STEEL
6837690				ALLISON - trabalha KCI5382 			STEEL
6839914				ALLISON						STEEL
6884958				ALLISON - Serie MT643				PAPER
23010122			ALLISON						GRAPHITE
23010123			ALLISON						CARBON PA
23010438			ALLISON						CARBON PAPER
23010871			ALLISON						BRONZE
23017289			ALLISON						STEEL
23017553			ALLISON						STEEL
23042199			ALLISON - Serie MT643				PAPER
23045455			ALLISON						GRAPHITE
23045573			ALLISON - serie 3000				STEEL
23045588			ALLISON - serie 3000				PAPER
23045589			ALLISON - serie 3000				STEEL
23048628			ALLISON - serie 3000				PAPER
29503141			ALLISON - serie 3000				STEEL
29516170			ALLISON - serie 3000				PAPER
29528207			ALLISON - serie 3000				PAPER
29528209			ALLISON - serie 3000				PAPER
29529492			ALLISON - Serie MT643				PAPER
29532371			ALLISON - serie 3000				PAPER
29536334			ALLISON - serie 3000				PAPER
29536334			ALLISON - serie 3000				PAPER
29536335			ALLISON - serie 3000				PAPER
29536335			ALLISON - serie 3000				PAPER
29536336			ALLISON - serie 3000				PAPER
29536337			ALLISON - serie 3000				PAPER
29536343			ALLISON - serie 3000				STEEL
29536344			ALLISON - serie 3000				STEEL
29536346			ALLISON - serie 3000				STEEL
29537887			ALLISON - Serie MT643				PAPER
29537887			ALLISON - Serie MT643				PAPER
29538424			ALLISON - Serie MT643				PAPER
6830293				ALLISON						CARBON Paper
063100027AS			ASTRA						MOLYBDENUM
5112 3191 49			ATLAS COPCO 281 				PAPER
DA1120700601			AUSA						STEEL
DA1120761002			AUSA						PAPER
160234				BELL						STEEL
160235				BELL						STEEL
160236				BELL						STEEL
160238				BELL						MOLYBDENUM
200053				BELL						STEEL
200054				BELL						STEEL
200055				BELL						STEEL
200056				BELL						STEEL
200057				BELL						STEEL
200106				BELL						STEEL
200107				BELL						STEEL
200108				BELL						STEEL
200109				BELL						STEEL
200111				BELL						MOLYBDENUM
221467				BELL						GRAPHITE
226813				BELL						GRAPHITE
321 2112			BENATI						STEEL
321 2326			BENATI						BRONZE
321 3587			BENATI						STEEL
321 3743			BENATI						BRONZE
321 3744			BENATI						BRONZE
321 3793			BENATI						BRONZE
324 2311			BENATI						BRONZE
324 2312			BENATI						STEEL
324 2313			BENATI						STEEL
324 2336			BENATI						BRONZE
324 2336			BENATI						BRONZE
752 7088			BENATI						STEEL
752 7089			BENATI						BRONZE
800-9092			BENFORD						PAPER
800-9093			BENFORD						STEEL
51317				BENFRA						BRONZE
1420482M1			BENFRA						STEEL
89925-2				BOBCAT						END PLATE
89927-8				BOBCAT						END PLATE
32010075			BOMAG						STEEL
32010076			BOMAG						PAPER
H1000000143			BOMAG						BRONZE
H1000000151			BOMAG						BRONZE
H1000002086			BOMAG						STEEL
H1000002087			BOMAG						STEEL
H1000002088			BOMAG						STEEL
H1000002201			BOMAG						STEEL
H1000002843			BOMAG						STEEL
BO6680700090			BONFIGLIOLLI					BRONZE
BO6680900080			BONFIGLIOLLI					STEEL
P11294/23			BRAY						STEEL
P15306/81			BRAY						BRONZE
P15306/82			BRAY						STEEL
44104600005			BREVINI						BRONZE
389 1050 000			BREVINI						BRONZE
G15640				BROCKHOUSE					STEEL
910700148			BRODERSON					BRONZE
910700149			BRODERSON					STEEL
910700163			BRODERSON					BRONZE
910700164			BRODERSON					STEEL
910700293			BRODERSON					PAPER
910700294			BRODERSON					STEEL
30661-3				CARCO WINCHES					BRONZE
30661-4				CARCO WINCHES					STEEL
46129				CARCO WINCHES					BRONZE
22507				CARLISLE					STEEL
73320298 GK			CARLISLE					BRONZE
133924				CARRARO						STEEL
133972				CARRARO						BRONZE
134740				CARRARO						END PLATE
136112				CARRARO						PAPER
136132				CARRARO						PAPER
136155				CARRARO						END PLATE
136644				CARRARO						END PLATE
136645				CARRARO						END PLATE
136646				CARRARO						END PLATE
137740				CARRARO						END PLATE
142307				CARRARO						STEEL
143874				CARRARO						PAPER
145139				CARRARO						PAPER
148487				CARRARO						STEEL
148488				CARRARO						STEEL
148795				CARRARO						PAPER
382114				CARRARO						PAPER
835747				CARRARO						STEEL
831946				CARRARO REXNORTH SENNEBOGEN 835			STEEL
831947				CARRARO REXNORTH SENNEBOGEN 835			BRONZE
866225				CARRARO 					PAPER
71103383			CASE 721E 					BRONZE
152402252			CASE						STEEL
152402253			CASE						BRONZE
8900120489			CASE						BRNZ/PLN
8900126635			CASE						STEEL
8900126636			CASE						STEEL
8900126637			CASE						STEEL
8900126638			CASE						STEEL
8900126641			CASE						CARBON PA
8900126642			CASE						CARBON PA/STEEL
8900130484			CASE						STEEL
8900130485			CASE						STEEL
8900130488			CASE						BRONZE
103310A1			CASE						STEEL
119228A1			CASE						END PLATE
119229A1			CASE						END PLATE
119336A1			CASE 721E - NEW HOLLAND W170			MOLYBDENUM
119430A1			CASE						STEEL
119431A1			CASE						STEEL
119433A1			CASE						PAPER
120486C1			CASE IH - TRATOR MAGNUM				STEEL
120488C1			CASE IH - TRATOR MAGNUM				PAPER
120488C2			CASE IH - TRATOR MAGNUM				PAPER
146055A1			CASE W20E					PAPER
146057A1			CASE						STEEL
148903A1			CASE - NEW HOLLAND W130				MOLYBDENUM
148905A1			CASE W20E - NEW HOLLAND W130			STEEL
148906A1			CASE - NEW HOLLAND W130				MOLYBDENUM/AÇO
148962A1			Case W20E					PAPER
148963A1			CASE						STEEL
177732A1			CASE 721E - NEW HOLLAND W170			MOLYBDENUM
181158A1			CASE						BRONZE
181159A1			CASE						STEEL
181162A1			CASE						END PLATE
187236A1			CASE						STEEL
190455A1			CASE 695					END PLATE
190462A1			CASE 580 Super H				PAPER
190474A1			CASE						END PLATE
196073A1			CASE						PAPER
1997129C1			CASE						PAPER
230549A1			CASE						STEEL
237021A1			CASE 580L					PAPER
237022A1			CASE 580L					END PLATE
237023A1			CASE 580L					END PLATE
237024A1			CASE 580L					END PLATE
242154A1			CASE 821F					STEEL
242155A1			CASE						STEEL
242156A1			CASE						STEEL
242157A1			CASE 821F					STEEL
242158A1			CASE						STEEL
242159A1			CASE 821B					MOLYBDENUM
245297A1			CASE						PAPER
291578A1			CASE						PAPER
291579A1			CASE						PAPER
291580A1			CASE						STEEL
308029A1			CASE						END PLATE
308030A1			CASE 695 SM					END PLATE
310519A1			CASE						END PLATE
331387A1			CASE 721E / 821E				PAPER/PLAIN
331388A1			CASE 721E / 821E				STEEL
331420A1			CASE 521D / 721E / 821E				PAPER/PLAIN
331422A1			CASE						STEEL
331893A1			CASE 721E / 821E - 8604701			PAPER/PLAIN
331894A1			CASE 721E / 821E				CARBON PA
331895A1			CASE 721E					STEEL
331896A1			CASE 521D / 721E / 821E				PAPER/PLAIN
331897A1			CASE 521D / 721E / 821E				CARBON PA
335165A1			CASE						CARBON PA
335167A1			CASE						CARBON PA/STEEL
366999A1			CASE						PAPER
367000A1			CASE						STEEL
371134A1			CASE						STEEL
371135A1			CASE						BRONZE
371136A1			CASE						BRONZE
384322A1			CASE						PAPER
384323A1			CASE						STEEL
384388A1			Case 821C					STEEL
384389A1			Case						STEEL
384390A1			CASE MT-L3085DK					STEEL
413580A1			CASE						STEEL
413582A1			CASE						BRONZE
413583A1			CASE						BRONZE
413586A1			CASE						PAPER
877 42942			CASE 721E - New Holland W170			MOLYBDENUM
A175072				CASE SUPER 580L					PAPER
A175806				CASE 580L					STEEL
A17920				CASE						BRONZE
A17921				CASE						STEEL
A188946				CASE						PAPER
A41005				CASE						STEEL
A41355				CASE						BRONZE
A458320				CASE						BRONZE
A52023				CASE 721E					Mo STEEL
A64525				CASE						PAPER
D106118				CASE						BRONZE
D50040				CASE 580H					BRONZE
D50041				CASE 580H					STEEL
D50047				CASE						STEEL
D50082				CASE						BRONZE
D50083				CASE 580H					STEEL
D55252				CASE						BRONZE
D70672				CASE						PAPER
D72327				CASE						STEEL
D72803				CASE						STEEL
D77063				CASE						BRONZE
D77576				CASE						BRONZE
D79944				CASE						STEEL
D80064				CASE						BRONZE
D83009				CASE						STEEL
DM4815				CASE 						STEEL
E114383				CASE						STEEL
E135004				CASE						BRONZE
E135004				CASE 						BRONZE
E135005				CASE						BRONZE
E135224				CASE						STEEL
E135225				CASE						STEEL
E135226				CASE						STEEL
E135261				CASE						END PLATE
E135262				CASE						STEEL
E135271				CASE						STEEL
E135272				CASE						STEEL
E159987				CASE						STEEL
E159992				CASE						PAPER
E68704				CASE						BRONZE
E68704				CASE 						BRONZE
K945754				CASE						BRONZE
K945755				CASE						STEEL
K963646				CASE 580H					BRONZE
K963647				CASE 580H					STEEL
L33958				CASE W20A 					STEEL
N4587				CASE						PAPER
N7022				CASE						GRAPHITE
N7217				CASE W18					BRONZE
N7219				CASE						STEEL
N8738				CASE						BRONZE
N8750				CASE 						BRONZE
S73416				CASE						BRONZE
S73417				CASE						STEEL
S73873				CASE						STEEL
S94326				CASE						BRONZE
SMR0913				CASE						PAPER
YN15V00025S742			CASE CX220 - XGMA 822LC				PAPER
YN15V00025S743			CASE CX220					STEEL
1014838				CAT						STEEL
1015162				CAT - heli, log, maximal			PAPER
1027179				CATERPILLAR					STEEL
1027180				CATERPILLAR					BRONZE
1028458				CAT						STEEL
1033349				CAT						STEEL
1186606				CAT 980G 					STEEL
1221880				CAT 416C					PAPER
1221881				CAT						STEEL
1368064				CAT STACKER SANY- FERRARI 258			BRONZE
1368068				CAT STACKER SANY- FERRARI 258			STEEL
1402371				CAT						PAPER
1671261				CAT						CORK
1698398				CAT - 5 peças					STEEL
1701208				CAT 924G / 924H 				PAPER
1701208				CATERPILLAR					CARBON PA
1702108				CAT						PAPER
1953722				CAT						STEEL
1981137				CAT 3512/B, 3516/B, 784C, 785C, 789B/C, 793C 	PAPER
1990750				CAT						PAPER
1990786				CAT						STEEL
2043057				CAT						END PLATE
2043093				CATERPILLAR					END PLATE
2172895				CATERPILLAR					PAPER
2222826				CAT 785,784,793  KCI5655 melhor			AFP
